id;sentencas;documento
11;['A produção industrial de calçados projeta um crescimento de 5% para as vendas de fim de ano.', 'O aumento da eficiência produtiva e o design inovador ajudaram a conquistar novos mercados no exterior.'];A produção industrial de calçados projeta um crescimento de 5% para as vendas de fim de ano. O aumento da eficiência produtiva e o design inovador ajudaram a conquistar novos mercados no exterior.
12;['A escassez de mão de obra qualificada em mecatrônica e automação tem preocupado os diretores de indústrias metalúrgicas.', 'Empresas estão criando programas internos de treinamento para suprir a demanda.'];A escassez de mão de obra qualificada em mecatrônica e automação tem preocupado os diretores de indústrias metalúrgicas. Empresas estão criando programas internos de treinamento para suprir a demanda.
13;['O setor de celulose e papel anunciou a expansão de uma de suas maiores plantas industriais na região Centro-Oeste.', 'O investimento bilionário deve aumentar a capacidade de exportação do país.'];O setor de celulose e papel anunciou a expansão de uma de suas maiores plantas industriais na região Centro-Oeste. O investimento bilionário deve aumentar a capacidade de exportação do país.
14;['Refinarias nacionais iniciaram testes para a produção em larga escala de biocombustíveis voltados para a aviação.', 'A transição energética abre um novo nicho de mercado para o parque industrial brasileiro.'];Refinarias nacionais iniciaram testes para a produção em larga escala de biocombustíveis voltados para a aviação. A transição energética abre um novo nicho de mercado para o parque industrial brasileiro.
15;['A indústria de alimentos e bebidas registrou alta na produção de itens embalados.', 'A modernização das linhas de empacotamento automático permitiu acelerar o ritmo de entrega para os supermercados.'];A indústria de alimentos e bebidas registrou alta na produção de itens embalados. A modernização das linhas de empacotamento automático permitiu acelerar o ritmo de entrega para os supermercados.
16;['A zona franca de Manaus apresentou um aumento na montagem de eletrodomésticos e componentes eletrônicos.', 'Isenções tarifárias recentes ajudaram a atrair novos fabricantes internacionais para a região.'];A zona franca de Manaus apresentou um aumento na montagem de eletrodomésticos e componentes eletrônicos. Isenções tarifárias recentes ajudaram a atrair novos fabricantes internacionais para a região.
17;['O preço do minério de ferro no mercado internacional estabilizou, trazendo alívio financeiro para as grandes indústrias extrativistas e siderúrgicas que operam no território nacional.'];O preço do minério de ferro no mercado internacional estabilizou, trazendo alívio financeiro para as grandes indústrias extrativistas e siderúrgicas que operam no território nacional.
18;['Empresas do setor de fundição estão adotando sistemas de inteligência artificial para prever falhas em maquinários e otimizar o uso de energia nos fornos de alta temperatura.'];Empresas do setor de fundição estão adotando sistemas de inteligência artificial para prever falhas em maquinários e otimizar o uso de energia nos fornos de alta temperatura.
19;['A produção de cimento e materiais de construção civil apresentou retração devido à desaceleração de grandes obras de infraestrutura.', 'O setor aguarda o lançamento de novos editais públicos.'];A produção de cimento e materiais de construção civil apresentou retração devido à desaceleração de grandes obras de infraestrutura. O setor aguarda o lançamento de novos editais públicos.
20;['A indústria farmacêutica nacional expandiu seus laboratórios de biotecnologia para a produção local de insumos farmacêuticos ativos.', 'A iniciativa reduz a dependência de importações da Índia e da China.'];A indústria farmacêutica nacional expandiu seus laboratórios de biotecnologia para a produção local de insumos farmacêuticos ativos. A iniciativa reduz a dependência de importações da Índia e da China.
21;['A produção metalmecânica apresentou forte recuperação no Sul do país, impulsionada pelas encomendas de estruturas metálicas para usinas de energia eólica e solar.'];A produção metalmecânica apresentou forte recuperação no Sul do país, impulsionada pelas encomendas de estruturas metálicas para usinas de energia eólica e solar.
22;['Pequenas fábricas de móveis estão se unindo em cooperativas regionais para comprar matéria-prima em larga escala.', 'A estratégia visa reduzir custos e manter a competitividade diante das grandes marcas.'];Pequenas fábricas de móveis estão se unindo em cooperativas regionais para comprar matéria-prima em larga escala. A estratégia visa reduzir custos e manter a competitividade diante das grandes marcas.
23;['O polo petroquímico da Bahia recebeu investimentos para modernização de suas instalações de segurança e controle ambiental.', 'O objetivo é alinhar a produção local aos padrões globais de sustentabilidade.'];O polo petroquímico da Bahia recebeu investimentos para modernização de suas instalações de segurança e controle ambiental. O objetivo é alinhar a produção local aos padrões globais de sustentabilidade.
24;['A indústria aeroespacial brasileira firmou um contrato de fornecimento de aeroestruturas para jatos comerciais executivos na Europa.', 'O acordo consolida a engenharia nacional no cenário global.'];A indústria aeroespacial brasileira firmou um contrato de fornecimento de aeroestruturas para jatos comerciais executivos na Europa. O acordo consolida a engenharia nacional no cenário global.
25;['Fábricas de embalagens plásticas estão acelerando a transição para polímeros biodegradáveis devido às novas exigências do mercado e regulamentações ambientais mais rígidas.'];Fábricas de embalagens plásticas estão acelerando a transição para polímeros biodegradáveis devido às novas exigências do mercado e regulamentações ambientais mais rígidas.
26;['O índice de confiança do empresário industrial atingiu o maior patamar dos últimos meses.', 'A estabilização da inflação e a queda nos juros foram determinantes para a melhora do humor do setor.'];O índice de confiança do empresário industrial atingiu o maior patamar dos últimos meses. A estabilização da inflação e a queda nos juros foram determinantes para a melhora do humor do setor.
27;['A produção de pneus e borrachas registrou estabilidade no balanço anual.', 'A cadeia de suprimentos enfrentou desafios logísticos no transporte marítimo de insumos fundamentais.'];A produção de pneus e borrachas registrou estabilidade no balanço anual. A cadeia de suprimentos enfrentou desafios logísticos no transporte marítimo de insumos fundamentais.
28;['Uma nova fundição de alumínio focada na reciclagem de materiais descartados começou a operar em Minas Gerais.', 'O projeto atende à crescente demanda por alumínio verde na indústria automobilística.'];Uma nova fundição de alumínio focada na reciclagem de materiais descartados começou a operar em Minas Gerais. O projeto atende à crescente demanda por alumínio verde na indústria automobilística.
29;['O setor industrial de tintas e vernizes renovou suas linhas de produtos com foco em soluções imobiliárias de secagem rápida.', 'A inovação tecnológica permitiu ampliar a margem de lucro das empresas.'];O setor industrial de tintas e vernizes renovou suas linhas de produtos com foco em soluções imobiliárias de secagem rápida. A inovação tecnológica permitiu ampliar a margem de lucro das empresas.
30;['A transformação digital nas linhas de montagem reduziu o tempo de fabricação de maquinário pesado em cerca de vinte por cento, melhorando a eficiência e a competitividade do parque fabril.'];A transformação digital nas linhas de montagem reduziu o tempo de fabricação de maquinário pesado em cerca de vinte por cento, melhorando a eficiência e a competitividade do parque fabril.
