Sentença	Id	Index	Granularidade	Documento
13	14	-1	1	Refinarias nacionais iniciaram testes para a produção em larga escala de biocombustíveis voltados para a aviação . A transição energética abre um novo nicho de mercado para o parque industrial brasileiro .
A indústria de alimentos e bebidas registrou alta na produção de itens embalados.	15	0	0	A indústria de alimentos e bebidas registrou alta na produção de itens embalados . A modernização das linhas de empacotamento automático permitiu acelerar o ritmo de entrega para os supermercados .
A modernização das linhas de empacotamento automático permitiu acelerar o ritmo de entrega para os supermercados.	15	1	0	A indústria de alimentos e bebidas registrou alta na produção de itens embalados . A modernização das linhas de empacotamento automático permitiu acelerar o ritmo de entrega para os supermercados .
14	15	-1	1	A indústria de alimentos e bebidas registrou alta na produção de itens embalados . A modernização das linhas de empacotamento automático permitiu acelerar o ritmo de entrega para os supermercados .
A zona franca de Manaus apresentou um aumento na montagem de eletrodomésticos e componentes eletrônicos.	16	0	0	A zona franca de Manaus apresentou um aumento na montagem de eletrodomésticos e componentes eletrônicos . Isenções tarifárias recentes ajudaram a atrair novos fabricantes internacionais para a região .
Isenções tarifárias recentes ajudaram a atrair novos fabricantes internacionais para a região.	16	1	0	A zona franca de Manaus apresentou um aumento na montagem de eletrodomésticos e componentes eletrônicos . Isenções tarifárias recentes ajudaram a atrair novos fabricantes internacionais para a região .
15	16	-1	1	A zona franca de Manaus apresentou um aumento na montagem de eletrodomésticos e componentes eletrônicos . Isenções tarifárias recentes ajudaram a atrair novos fabricantes internacionais para a região .
O preço do minério de ferro no mercado internacional estabilizou, trazendo alívio financeiro para as grandes indústrias extrativistas e siderúrgicas que operam no território nacional.	17	0	0	O preço do minério de ferro no mercado internacional estabilizou , trazendo alívio financeiro para as grandes indústrias extrativistas e siderúrgicas que operam no território nacional .
16	17	-1	1	O preço do minério de ferro no mercado internacional estabilizou , trazendo alívio financeiro para as grandes indústrias extrativistas e siderúrgicas que operam no território nacional .
Empresas do setor de fundição estão adotando sistemas de inteligência artificial para prever falhas em maquinários e otimizar o uso de energia nos fornos de alta temperatura.	18	0	0	Empresas do setor de fundição estão adotando sistemas de inteligência artificial para prever falhas em maquinários e otimizar o uso de energia nos fornos de alta temperatura .
17	18	-1	1	Empresas do setor de fundição estão adotando sistemas de inteligência artificial para prever falhas em maquinários e otimizar o uso de energia nos fornos de alta temperatura .
A produção de cimento e materiais de construção civil apresentou retração devido à desaceleração de grandes obras de infraestrutura.	19	0	0	A produção de cimento e materiais de construção civil apresentou retração devido à desaceleração de grandes obras de infraestrutura . O setor aguarda o lançamento de novos editais públicos .
O setor aguarda o lançamento de novos editais públicos.	19	1	0	A produção de cimento e materiais de construção civil apresentou retração devido à desaceleração de grandes obras de infraestrutura . O setor aguarda o lançamento de novos editais públicos .
18	19	-1	1	A produção de cimento e materiais de construção civil apresentou retração devido à desaceleração de grandes obras de infraestrutura . O setor aguarda o lançamento de novos editais públicos .
A indústria farmacêutica nacional expandiu seus laboratórios de biotecnologia para a produção local de insumos farmacêuticos ativos.	20	0	0	A indústria farmacêutica nacional expandiu seus laboratórios de biotecnologia para a produção local de insumos farmacêuticos ativos . A iniciativa reduz a dependência de importações da Índia e da China .
A iniciativa reduz a dependência de importações da Índia e da China.	20	1	0	A indústria farmacêutica nacional expandiu seus laboratórios de biotecnologia para a produção local de insumos farmacêuticos ativos . A iniciativa reduz a dependência de importações da Índia e da China .
19	20	-1	1	A indústria farmacêutica nacional expandiu seus laboratórios de biotecnologia para a produção local de insumos farmacêuticos ativos . A iniciativa reduz a dependência de importações da Índia e da China .
A produção metalmecânica apresentou forte recuperação no Sul do país, impulsionada pelas encomendas de estruturas metálicas para usinas de energia eólica e solar.	21	0	0	A produção metalmecânica apresentou forte recuperação no Sul do país , impulsionada pelas encomendas de estruturas metálicas para usinas de energia eólica e solar .
20	21	-1	1	A produção metalmecânica apresentou forte recuperação no Sul do país , impulsionada pelas encomendas de estruturas metálicas para usinas de energia eólica e solar .
Pequenas fábricas de móveis estão se unindo em cooperativas regionais para comprar matéria-prima em larga escala.	22	0	0	Pequenas fábricas de móveis estão se unindo em cooperativas regionais para comprar matéria-prima em larga escala . A estratégia visa reduzir custos e manter a competitividade diante das grandes marcas .
A estratégia visa reduzir custos e manter a competitividade diante das grandes marcas.	22	1	0	Pequenas fábricas de móveis estão se unindo em cooperativas regionais para comprar matéria-prima em larga escala . A estratégia visa reduzir custos e manter a competitividade diante das grandes marcas .
21	22	-1	1	Pequenas fábricas de móveis estão se unindo em cooperativas regionais para comprar matéria-prima em larga escala . A estratégia visa reduzir custos e manter a competitividade diante das grandes marcas .
O polo petroquímico da Bahia recebeu investimentos para modernização de suas instalações de segurança e controle ambiental.	23	0	0	O polo petroquímico da Bahia recebeu investimentos para modernização de suas instalações de segurança e controle ambiental . O objetivo é alinhar a produção local aos padrões globais de sustentabilidade .
O objetivo é alinhar a produção local aos padrões globais de sustentabilidade.	23	1	0	O polo petroquímico da Bahia recebeu investimentos para modernização de suas instalações de segurança e controle ambiental . O objetivo é alinhar a produção local aos padrões globais de sustentabilidade .
22	23	-1	1	O polo petroquímico da Bahia recebeu investimentos para modernização de suas instalações de segurança e controle ambiental . O objetivo é alinhar a produção local aos padrões globais de sustentabilidade .
A indústria aeroespacial brasileira firmou um contrato de fornecimento de aeroestruturas para jatos comerciais executivos na Europa.	24	0	0	A indústria aeroespacial brasileira firmou um contrato de fornecimento de aeroestruturas para jatos comerciais executivos na Europa . O acordo consolida a engenharia nacional no cenário global .
O acordo consolida a engenharia nacional no cenário global.	24	1	0	A indústria aeroespacial brasileira firmou um contrato de fornecimento de aeroestruturas para jatos comerciais executivos na Europa . O acordo consolida a engenharia nacional no cenário global .
23	24	-1	1	A indústria aeroespacial brasileira firmou um contrato de fornecimento de aeroestruturas para jatos comerciais executivos na Europa . O acordo consolida a engenharia nacional no cenário global .
Fábricas de embalagens plásticas estão acelerando a transição para polímeros biodegradáveis devido às novas exigências do mercado e regulamentações ambientais mais rígidas.	25	0	0	Fábricas de embalagens plásticas estão acelerando a transição para polímeros biodegradáveis devido às novas exigências do mercado e regulamentações ambientais mais rígidas .
24	25	-1	1	Fábricas de embalagens plásticas estão acelerando a transição para polímeros biodegradáveis devido às novas exigências do mercado e regulamentações ambientais mais rígidas .
O índice de confiança do empresário industrial atingiu o maior patamar dos últimos meses.	26	0	0	O índice de confiança do empresário industrial atingiu o maior patamar dos últimos meses . A estabilização da inflação e a queda nos juros foram determinantes para a melhora do humor do setor .
A estabilização da inflação e a queda nos juros foram determinantes para a melhora do humor do setor.	26	1	0	O índice de confiança do empresário industrial atingiu o maior patamar dos últimos meses . A estabilização da inflação e a queda nos juros foram determinantes para a melhora do humor do setor .
25	26	-1	1	O índice de confiança do empresário industrial atingiu o maior patamar dos últimos meses . A estabilização da inflação e a queda nos juros foram determinantes para a melhora do humor do setor .
A produção de pneus e borrachas registrou estabilidade no balanço anual.	27	0	0	A produção de pneus e borrachas registrou estabilidade no balanço anual . A cadeia de suprimentos enfrentou desafios logísticos no transporte marítimo de insumos fundamentais .
A cadeia de suprimentos enfrentou desafios logísticos no transporte marítimo de insumos fundamentais.	27	1	0	A produção de pneus e borrachas registrou estabilidade no balanço anual . A cadeia de suprimentos enfrentou desafios logísticos no transporte marítimo de insumos fundamentais .
26	27	-1	1	A produção de pneus e borrachas registrou estabilidade no balanço anual . A cadeia de suprimentos enfrentou desafios logísticos no transporte marítimo de insumos fundamentais .
Uma nova fundição de alumínio focada na reciclagem de materiais descartados começou a operar em Minas Gerais.	28	0	0	Uma nova fundição de alumínio focada na reciclagem de materiais descartados começou a operar em Minas Gerais . O projeto atende à crescente demanda por alumínio verde na indústria automobilística .
O projeto atende à crescente demanda por alumínio verde na indústria automobilística.	28	1	0	Uma nova fundição de alumínio focada na reciclagem de materiais descartados começou a operar em Minas Gerais . O projeto atende à crescente demanda por alumínio verde na indústria automobilística .
27	28	-1	1	Uma nova fundição de alumínio focada na reciclagem de materiais descartados começou a operar em Minas Gerais . O projeto atende à crescente demanda por alumínio verde na indústria automobilística .
O setor industrial de tintas e vernizes renovou suas linhas de produtos com foco em soluções imobiliárias de secagem rápida.	29	0	0	O setor industrial de tintas e vernizes renovou suas linhas de produtos com foco em soluções imobiliárias de secagem rápida . A inovação tecnológica permitiu ampliar a margem de lucro das empresas .
A inovação tecnológica permitiu ampliar a margem de lucro das empresas.	29	1	0	O setor industrial de tintas e vernizes renovou suas linhas de produtos com foco em soluções imobiliárias de secagem rápida . A inovação tecnológica permitiu ampliar a margem de lucro das empresas .
28	29	-1	1	O setor industrial de tintas e vernizes renovou suas linhas de produtos com foco em soluções imobiliárias de secagem rápida . A inovação tecnológica permitiu ampliar a margem de lucro das empresas .
A transformação digital nas linhas de montagem reduziu o tempo de fabricação de maquinário pesado em cerca de vinte por cento, melhorando a eficiência e a competitividade do parque fabril.	30	0	0	A transformação digital nas linhas de montagem reduziu o tempo de fabricação de maquinário pesado em cerca de vinte por cento , melhorando a eficiência e a competitividade do parque fabril .
29	30	-1	1	A transformação digital nas linhas de montagem reduziu o tempo de fabricação de maquinário pesado em cerca de vinte por cento , melhorando a eficiência e a competitividade do parque fabril .
